id,name,lat_degree,lat_minute,lat_seconds,lat_direction,long_degree,long_minute,long_seconds,long_direction,LAT,LONG,attitude
1,,0,8,9.357,S,78,28,31.945,W,,,
2,,10,38,27.42,N,61,22,51.969,W,,,
3,,12,5,7.52,S,77,0,26.258,W,,,
4,,12,5,7.52,S,77,0,26.262,W,,,
5,,13,43,13.213,N,89,12,0.835,W,,,
6,,14,1,26.419,N,60,58,33.704,W,,,
7,,14,35,24.774,N,90,32,31.394,W,,,
8,,16,30,1.043,S,68,7,57.024,W,,,
9,,17,15,13.707,N,88,46,46.66,W,,,
10,,17,17,55.42,N,62,44,2.565,W,,,
11,,17,7,34.395,N,61,49,18.409,W,,,
12,,18,0,40.715,N,76,47,32.836,W,,,
13,,18,20,48.248,N,66,45,12.361,W,,,
14,,18,27,57.917,N,69,53,44.116,W,,,
15,,20,32,13.2,N,100,15,16.83,W,,,
16,,20,32,13.275,N,100,15,17.204,W,,,
17,,20,32,13.29,N,100,15,17.238,W,,,
18,,20,32,13.303,N,100,15,17.194,W,,,
19,,20,32,13.317,N,100,15,17.213,W,,,
20,,20,32,13.373,N,100,15,17.204,W,,,
21,,20,35,38.76,N,100,22,19.236,W,,,
22,,20,37,48.774,N,101,17,25.782,W,,,
23,,21,59,16.467,N,159,45,46.798,W,,,
24,,21,9,11.25,N,101,41,22.501,W,,,
25,,22,53,44.563,S,43,13,27.407,W,,,
26,,25,15,13.417,S,57,35,4.426,W,,,
27,,27,59,19.217,N,82,32,50.021,W,,,
28,,30,22,57.141,N,97,44,41.926,W,,,
29,,30,29,10.3,N,86,30,15.9,W,,,
30,,30,29,10.315,N,86,30,15.991,W,,,
31,,30,29,10.317,N,86,30,16.024,W,,,
32,,30,29,10.319,N,86,30,16.034,W,,,
33,,30,29,10.323,N,86,30,16.04,W,,,
34,,30,29,10.324,N,86,30,16.036,W,,,
35,,30,29,10.328,N,86,30,16.037,W,,,
36,,30,29,10.33,N,86,30,16.041,W,,,
37,,30,29,10.338,N,86,30,16.006,W,,,
38,,30,29,9.683,N,86,30,15.312,W,,,
39,,30,29,9.723,N,86,30,15.409,W,,,
40,,30,29,9.727,N,86,30,15.424,W,,,
41,,30,29,9.747,N,86,30,15.43,W,,,
42,,33,14,6.216,N,87,30,20.174,W,,,
43,,33,42,53.303,N,117,50,29.546,W,,,
44,,33,47,56.04,N,118,0,17.597,W,,,
45,,33,54,26.011,N,118,22,49.839,W,,,
46,,33,54,26.011,N,118,22,49.816,W,,,
47,,33,54,52.78,N,118,22,46.61,W,,,
48,,34,34,35.814,S,58,30,56.629,W,,,
49,,34,53,10.107,S,56,11,41.503,W,,,
50,,34,57,0,S,58,51,0,W,,,
51,,35,39,24.238,N,139,48,11.015,E,,,
52,,35,39,24.269,N,139,48,10.969,E,,,
53,,36,49,49.945,S,73,2,13.603,W,,,
54,,39,11,8.173,N,76,41,11.401,W,,,
55,,39,12,7.501,N,77,15,47.386,W,,,
56,,39,57,56.154,N,105,6,51.677,W,,,
57,,39,59,43.32,N,105,15,43.91,W,,,
58,,39,59,43.493,N,105,15,44.114,W,,,
59,,39,59,43.494,N,105,15,44.108,W,,,
60,,39,59,43.64,N,105,15,44.43,W,,,
61,,39,59,43.689,N,105,15,44.552,W,,,
62,,39,59,43.702,N,105,15,44.529,W,,,
63,,39,59,43.75,N,105,15,44.58,W,,,
64,,39,59,43.764,N,105,15,44.439,W,,,
65,,39,59,43.766,N,105,15,44.487,W,,,
66,,39,59,44.282,N,105,15,43.25,W,,,
67,,39,59,44.284,N,105,15,43.202,W,,,
68,,39,59,44.284,N,105,15,43.351,W,,,
69,,39,59,44.285,N,105,15,43.202,W,,,
70,,39,59,44.49,N,105,15,43.41,W,,,
71,,39,59,44.494,N,105,15,43.409,W,,,
72,,39,59,44.544,N,105,15,43.124,W,,,
73,,39,59,44.544,N,105,15,43.124,E,,,
74,,39,59,44.544,N,15,15,43.124,W,,,
75,,39,59,44.59,N,105,15,43.077,W,,,
76,,39,59,44.6,N,105,15,43.131,W,,,
77,,39,59,44.635,N,105,15,43.196,W,,,
78,,39,59,44.636,N,105,15,43.03,W,,,
79,,39,59,44.653,N,105,15,42.988,W,,,
80,,39,59,44.654,N,105,15,43.221,W,,,
81,,39,59,44.66,N,105,15,43.071,W,,,
82,,39,59,44.691,N,105,15,43.187,W,,,
83,,39,59,43.56,N,105,15,44.34,W,,,
84,,39,59,44.49,N,105,15,43.41,W,,,
85,,4,38,34.487,N,74,5,31.677,W,,,
86,,4,38,34.643,N,74,5,32.593,W,,,
87,,40,35,5.059,N,74,14,34.497,W,,,
88,,40,40,47.167,N,105,2,32.244,W,,,
89,,40,40,47.188,N,105,2,32.264,W,,,
90,,40,40,47.443,N,105,2,32.125,W,,,
91,,40,45,43.263,N,74,1,28.915,W,,,
92,,40,46,31.49,N,74,4,11.677,W,,,
93,,40,49,40.625,N,74,8,17.564,W,,,
94,,41,4,41.17,N,74,9,11.121,W,,,
95,,41,47,45.759,N,88,14,37.032,W,,,
96,,41,47,47.962,N,88,14,39.018,W,,,
97,,41,51,14.215,N,87,37,8.418,W,,,
98,,41,51,14.737,N,87,37,7.759,W,,,
99,,42,31,5.369,N,70,53,14.373,W,,,
100,,42,34,14.739,N,70,52,52.494,W,,,
101,,42,34,14.739,N,70,52,52.476,W,,,
102,,42,40,6.203,N,88,17,8.398,W,,,
103,,42,42,16.237,N,71,25,56.113,W,,,
104,,42,42,16.243,N,71,25,56.155,W,,,
105,,42,42,16.255,N,71,25,56.142,W,,,
106,,42,53,55.233,N,71,19,42.092,W,,,
107,,42,56,9.646,N,71,25,20.919,W,,,
108,,45,27,14.853,N,75,37,25.809,W,,,
109,,46,44,48.511,N,117,9,55.341,W,,,
110,,46,45,2.419,N,117,9,53.782,W,,,
111,,47,32,6.622,N,122,19,3.538,W,,,
112,,50,8,32.477,N,8,44,16.531,E,,,
113,,51,29,39.628,N,0,1,9.488,W,,,
114,,51,31,24.756,N,0,38,6.187,W,,,
115,,6,48,27.681,N,58,7,45.843,W,,,
116,,9,0,12.306,N,79,35,3.589,W,,,
117,,9,0,12.306,N,79,35,3.582,W,,,
118,,9,0,12.309,N,79,35,3.59,W,,,
119,,9,55,52.809,N,84,3,22.568,W,,,
120,,9,55,53.341,N,84,3,22.525,W,,,